Estimation;EKF;;;;;
Acquisition;Simulation;;;;;
Representation;Euler Angles;;;;;
Time interval(s);12.0;Samp. Frequency(Hz);200;;;
Simulation Time(ms);552.819;Estimation time(ms);1257.446;Total Time(s);12.019;
Rotation Speed RPY(deg/s);0;0;30;Rotation Start/Stop(s);;
Initial RPY(deg);0;0;0;;;
Accelerometer Noise Power;0.038214;Accelerometer Noise Offset;0.0195;;;
Gyrometer Noise Power;0.01749;Gyrometer Noise Offset;0.0322;;;
Magnetometer Noise Power;1.204;;;;;
RMSE Roll(deg);1.96;RMSE Pitch(deg);2.07;RMSE Yaw(deg);2.82;Average RMSE(deg)
RMSE Roll(%);1.09;RMSE Pitch(%);1.15;RMSE Yaw(%);1.57;Average RMSE(%)
t(s);;;;r_est(d);p_est(d);y_est(d)
1.215;;;;-0.57;-2.21;36.73
1.220;;;;0.88;-1.13;38.49
1.225;;;;-0.60;-1.42;37.80
1.230;;;;1.30;-1.61;38.36
1.235;;;;2.89;-0.84;38.32
1.240;;;;2.29;0.24;41.14
1.245;;;;1.35;-2.69;40.40
1.250;;;;3.95;-0.64;42.37
1.255;;;;-0.92;-3.62;40.03
1.260;;;;-1.12;-2.29;36.98
1.265;;;;3.70;-4.21;40.33
1.270;;;;0.35;-3.40;35.60
1.275;;;;2.75;-0.50;38.24
1.280;;;;0.03;-3.24;42.67
1.285;;;;1.88;-1.96;40.66
1.290;;;;0.38;-0.15;41.11
1.295;;;;0.86;0.13;40.31
1.300;;;;0.83;0.10;38.85
1.305;;;;2.31;-3.51;44.43
1.310;;;;-0.70;-2.35;42.88
1.315;;;;-1.89;0.17;40.00
1.320;;;;2.35;-2.74;44.28
1.325;;;;1.64;-0.32;38.43
1.330;;;;0.07;-0.01;37.91
1.335;;;;1.04;-0.17;38.25
1.340;;;;-0.18;-0.89;41.93
1.345;;;;-0.64;-2.07;42.48
1.350;;;;1.33;2.16;38.30
1.355;;;;-0.89;0.37;41.34
1.360;;;;-1.38;-1.16;40.37
1.365;;;;-2.92;-1.12;38.05
1.370;;;;3.27;-0.90;44.08
1.375;;;;-0.70;-2.14;40.90
1.380;;;;1.87;2.90;42.10
1.385;;;;6.09;-1.35;46.55
1.390;;;;0.85;-2.22;46.60
1.395;;;;-1.19;-0.11;43.76
1.400;;;;1.46;-3.51;47.83
1.405;;;;2.38;-1.60;48.02
1.410;;;;-1.63;1.37;42.09
1.415;;;;1.54;0.35;45.93
1.420;;;;0.04;-3.45;47.79
1.425;;;;-1.21;0.89;43.98
1.430;;;;1.67;-1.04;44.72
1.435;;;;1.42;-6.15;47.93
1.440;;;;5.52;-1.14;46.61
1.445;;;;1.68;2.26;42.58
1.450;;;;1.38;-0.76;44.28
1.455;;;;1.09;1.78;42.08
1.460;;;;-2.66;0.52;43.53
1.465;;;;2.10;-2.59;46.45
1.470;;;;2.97;-2.97;46.57
1.475;;;;-2.02;-0.73;42.36
1.480;;;;0.94;0.97;47.01
1.485;;;;2.24;-1.76;47.85
1.490;;;;1.75;-1.90;48.82
1.495;;;;0.35;1.37;42.77
1.500;;;;0.13;0.58;44.75
1.505;;;;1.31;-2.15;49.32
