Line;Roll_Arduino;Pitch_Arduino;Yaw_Arduino;Roll_CSV;Pitch_CSV;Yaw_CSV;RMSE_Roll;RMSE_Pitch;RMSE_Yaw
1299;0.93;-1.81;-165.69;0.98;-1.07;-166.61;0.04999999999999993;0.74;0.9200000000000159
1300;0.54;-2.15;-168.54;0.56;-1.28;-168.63;0.020000000000000018;0.8699999999999999;0.09000000000000341
1301;-2.44;0.81;-162.86;-1.61;1.44;-162.5;0.8299999999999998;0.6299999999999999;0.36000000000001364
1302;2.46;1.71;-160.33;2.14;1.41;-162.31;0.31999999999999984;0.30000000000000004;1.9799999999999898
1303;-0.59;0.06;-165.52;-0.43;0.57;-164.15;0.15999999999999998;0.51;1.3700000000000045
1304;1.15;-0.21;-161.0;1.05;-0.52;-162.9;0.09999999999999987;0.31000000000000005;1.9000000000000057
1305;-0.7;-0.09;-165.95;-0.69;0.03;-164.46;0.010000000000000009;0.12;1.4899999999999807
1306;-0.56;0.48;-163.89;-0.48;0.54;-163.5;0.08000000000000007;0.06000000000000005;0.38999999999998636
1307;-1.67;-0.99;-168.59;-1.82;-1.3;-165.54;0.15000000000000013;0.31000000000000005;3.0500000000000114
1308;0.76;-2.03;-162.47;0.82;-1.33;-164.26;0.05999999999999994;0.6999999999999997;1.789999999999992
1309;2.04;-5.46;-166.18;2.08;-3.77;-168.07;0.040000000000000036;1.69;1.8899999999999864
1310;0.39;-1.69;-168.21;0.44;-1.61;-168.68;0.04999999999999999;0.07999999999999985;0.46999999999999886
1311;3.36;-2.89;-160.49;3.48;-2.07;-165.99;0.1200000000000001;0.8200000000000003;5.5
1312;2.5;-4.6;-168.34;2.53;-3.2;-170.23;0.029999999999999805;1.3999999999999995;1.8899999999999864
1313;0.3;-1.26;-161.39;1.07;-0.51;-164.31;0.77;0.75;2.920000000000016
1314;-1.91;-2.76;-161.79;-1.58;-2.49;-161.7;0.32999999999999985;0.2699999999999996;0.09000000000000341
1315;-0.98;2.47;-163.74;-1.18;1.66;-161.75;0.19999999999999996;0.8100000000000003;1.990000000000009
1316;-2.72;-1.19;-160.84;-2.18;0.16;-159.27;0.54;1.3499999999999999;1.5699999999999932
1317;3.19;2.45;-163.53;2.26;1.91;-163.73;0.9300000000000002;0.5400000000000003;0.19999999999998863
1318;2.23;-0.46;-161.19;2.15;-0.58;-163.85;0.08000000000000007;0.11999999999999994;2.6599999999999966
1319;-0.27;-4.82;-163.42;0.17;-3.14;-164.16;0.44000000000000006;1.6800000000000002;0.7400000000000091
1320;-0.64;1.9;-158.08;-0.14;1.27;-159.18;0.5;0.6299999999999999;1.0999999999999943
1321;-0.63;-2.95;-160.99;-0.55;-2.33;-160.5;0.07999999999999996;0.6200000000000001;0.4900000000000091
1322;-0.69;2.93;-161.17;-1.05;1.13;-159.71;0.3600000000000001;1.8000000000000003;1.4599999999999795
1323;-0.55;2.07;-158.06;-0.33;2.27;-157.57;0.22000000000000003;0.20000000000000018;0.4900000000000091
1324;-3.87;-1.1;-165.47;-3.71;-0.74;-160.15;0.16000000000000014;0.3600000000000001;5.319999999999993
1325;2.58;-0.43;-161.55;2.05;-0.01;-163.0;0.5300000000000002;0.42;1.4499999999999886
1326;-0.76;-2.41;-162.48;-0.4;-1.55;-162.54;0.36;0.8600000000000001;0.060000000000002274
1327;1.05;-2.35;-161.75;1.1;-1.52;-163.22;0.050000000000000044;0.8300000000000001;1.4699999999999989
1328;2.99;-0.05;-159.09;2.73;-0.85;-162.89;0.26000000000000023;0.7999999999999999;3.799999999999983
1329;0.21;-0.57;-160.26;0.44;-0.6;-161.49;0.23;0.030000000000000027;1.2300000000000182
1330;2.22;-1.0;-159.3;2.19;-0.56;-161.82;0.03000000000000025;0.43999999999999995;2.519999999999982
